Number,MIC,Company Name,Model Name,Problem 1,Last Date
05R0919S,WXK,SIERRA BOATS LLC,SIERRA 175R,LABEL; CAPACITY,2010-07-09
04R0400S,FNE,FINELINE INDUSTRIES INC,CYCLONE C4,FUEL SYSTEM,2010-07-09
06R1821S,WKG,WELD CRAFT MFG INC,1852 BASS OUTBOARD,HORSEPOWER,2010-07-09
05R0482,EKR,CALIBER 1 CUSTOM BOATS,206 OUTLAW,FUEL SYSTEM,2010-03-09
06R1490S,MJI,DYNASTY BOATS INC,2700 WA OUTBOARD,,2010-06-08
05R0615S,VIC,MARINE TECHNOLOGY INC,39RP,FUEL SYSTEM,2010-06-08
06R1292S,VCN,CARAVELLE BOATS INC,237 INBOARD BOAT,VENTILATION,2010-05-05
07R2031S,STR,STARCRAFT MARINE,STARSTEP 200 INBOARD DECK BOAT,VENTILATION,2010-03-01
080034S,MDN,MERIDIAN YACHTS INC,341 AND 391SB,VENTILATION,2009-08-12
060067T,CCB,CHRIS CRAFT BOATS,VARIOUS,FUEL FILL FITTING CRACKS,2009-11-11
070003T,ZZN,BOMBARDIER LTD,VARIOUS,STEERING,2009-09-11
08R2648S,UGB,BOATING SALES AND SERVICE,CABRETTA 155,SAFE LOADING MAX WT,2009-09-09
080026S,KEN,KENNER BOATS,KENNER 180V ST,LABEL; CAPACITY,2009-11-06
060028T,RNG,RANGER BOATS,BANSHEE E,OVERCURRENT PROTECTION,2009-05-04
060088T,BBB,BAYLINER MARINE,195 DISCOVERY,STEERING,2009-11-02
060102T,RNG,RANGER BOATS,VARIOUS,ELECTRICAL SYSTEM,2009-10-02
07R2402S,GZZ,NORTHERN WATERS,SNEAKY PETE,ENGINE; GASOLINE,2009-08-01
08R2976S,EJU,AZTEC FABRICATIONS INC,PHANTOM SPORTS JON,ELECTRICAL SYSTEM,2009-06-01
050042T,CEC,BOMBARDIER RECREATIONAL PROD,JOHNSON 200/225 HP 4 STROKE,DEFECTIVE FLYWHEEL,2008-09-12
040019T,CEC,BOMBARDIER RECREATIONAL PROD,SEA-DOO,THROTTLE BODY CORROSION,2008-09-12
060042S,CEC,BOMBARDIER RECREATIONAL PROD,EVINRUDE 40 HP OUTBOARD,START IN GEAR,2008-09-12
030178T,CEC,BOMBARDIER LTD,JOHNSON/EVINRUDE,SIDE MOUNT CONTROL BOXES,2008-09-12
040016T,CEC,BOMBARDIER LTD,EVINRUDE 100 - 250 HP O/B ENG.,FUEL RETURN MANIFOLD LEAK,2008-09-12
07R2516S,KUR,J K INC,U-3,LABEL; CAPACITY,2008-06-12
080022T,ZZN,BOMBARDIER RECREATIONAL PROD,RXP,FUEL VENT HOSE ABRASION,2008-05-12
06R1552S,GKG,EVOLUTION POWER BOATS,TWENTY-TWO PONTOON BOAT,LABEL; CERTIFICATION,2008-02-11
020108T,,MERCURY MARINE,M2 JET DRIVE,ELECTRICAL SYSTEM FUSE,2008-01-11
08R2664S,NAS,NORTH AMERICAN SLEEKCRAFT INC,S8 SEPTER WAKE BOARD,FUEL SYSTEM,2008-07-10
060008T,ACB,ALUMACRAFT BOAT CO,VARIOUS,SEAT HINGE PIN,2008-04-10
080002S,BUJ,TRACKER MARINE GROUP LLC,TUNDRA 18 AND TUNDRA 20,BASIC FLOTATION,2008-10-07
070052S,,WEBER AUTOMOTIVE,FUEL SYST QUCK CONNECTOR,FUEL SYSTEM,2008-05-06
050077T,ETW,BENNINGTON MARINE CORP,PONTOON,POWER STEERING PUMP HOSE,2008-09-05
060065T,FGB,CHAPARRAL BOATS INC,VARIOUS,FUEL FILL FITTING CRACKS,2008-06-05
060066T,ROB,ROBALO BOATS LLC,,FUEL FILL FITTING CRACKS,2008-06-05
07R2595S,EVJ,GTO PERFORMANCE AIRBOATS,SPV 1576,LABEL; CERTIFICATION,2008-03-05
070009T,,YANMAR MARINE USA CORP,4BY & 6BY DIESEL ENGINES,FUEL HOSE MAY LEAK,2008-01-04
040055T,ETW,BENNINGTON MARINE CORP,ALL,SPEAKER FIRE,2008-01-04
06R1738S,SP3,SUNSATION PERFORMANCE BOATS,32' INBOARD,ELECTRICAL SYSTEM,2008-12-02
060084T,,VOLVO PENTA,GM 8.1 L ENGINE,ENGINE; GASOLINE,2008-07-01
050003T,YAM,YAMAHA MOTOR CORP USA,F225/LF225 F200/LF200,THROTTLE LINKAGE,2007-06-12
070011T,ZZN,BOMBARDIER,GTX GTI RXP RXT,FUEL SYSTEM PRESSURE,2007-04-12
060058T,FIN,FINELINE INDUSTRIES INC,CENTURION,SKI TOWER BOLT,2007-06-11
060070T,KCM,KENCRAFT MFG INC,"""2060, 2260, 2460""",FUEL FILL FITTING CRACKS,2007-06-11
06R1707S,OFA,FLORAL CITY AIRBOATS,14 X 8 FLORAL CITY AIRBOAT,CERTIFICATION,2007-04-11
050037T,MBC,MASTERCRAFT BOAT CO LLC,MARISTAR 230 AND X-30,FUEL TANK ABRASION,2007-04-11
07P035S,QBS,WESTWINN GROUP CORP,JETCRAFT 1625 SK,BASIC FLOTATION,2007-11-08
070027T,HQZ,VOLVO PENTA/QL,"""CT600, CT900, SP600, SP900""",BOW/STERN THRUSTERS,2007-08-08
050067S,PIO,SEA PRO BOATS,S195FS,LEVEL FLOTATION,2007-06-08
050016S,SMK,SMOKER CRAFT INC,20 FOOT DECK BOAT,VENTILATION,2007-03-08
060075T,JNT,NAUTIC STAR LLC,VARIOUS,FUEL FILL FITTING CRACKS,2007-08-06
04V072T,KTT,KITCO INC,5750,SAFE LOADING MAX PERS WT,2007-04-06
05R0466,STR,STARCRAFT MARINE,AURORA 2000 IO,VENTILATION,2007-03-06
050055T,MDN,MERIDIAN YACHTS INC,"""408, 411, 459""",SHOREPOWER PLUG,2007-06-05
020202T,MXG,MAXUM MARINE,2955 SCR SUN CRUISER,ISOLATION BULKHEAD,2007-06-05
050005T,,MERCURY MARINE,225 V-6 EFI 4 STROKE O/B,THROTTLE STICKING,2007-04-05
050029T,GHQ,SEA BOSS BOATS,VARIOUS,THRU HULL FITTING FAILURE,2007-05-04
060113T,ACB,ALUMACRAFT BOAT CO,VARIOUS,SEAT POST MAY NOT LOCK,2007-04-04
06R1393S,IGW,IMAR GROUP LLC,"""REVO 6.7, 22' INBOARD""",ELECTRICAL SYSTEM,2007-04-04
050007T,SMK,SMOKER CRAFT INC,VARIOUS,IGNITION SWITCH,2007-05-02
